Keyword,Intent,Volume,KD,Cluster,Mapped URL,Page Type,Funnel,Business Fit,SEO Effort,Priority,Priority Score
google my business,Navigational,246000,91,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P1,43050
my google business profile,"Navigational, Transactional",8100,88,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P1,2395.58
google my business listing,Commercial,5400,84,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P1,2088.45
google my business verification,Informational,1300,26,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Low,P1,1706.25
google my business letter,"Navigational, Transactional",1000,41,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Medium,P1,1365
google my business services,"Navigational, Commercial",1000,39,Categories / Services / Description,/guides/google-my-business-services/,Guide,BOFU,4,Medium,P1,1289.6
google my business code,Informational,1600,58,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Medium,P1,1204
add my business to google maps,"Informational, Commercial",880,41,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,BOFU,4,Medium,P1,1098.24
google my business sticker,Informational,720,24,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,Low,P1,970.2
google my business dashboard,"Navigational, Transactional",880,58,Management Service / Agency,/google-business-profile-management-tool/,Product Landing,BOFU,5,Medium,P1,860.86
google my business messaging,Navigational,720,37,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,Medium,P1,806.4
add my business to google,"Navigational, Commercial",2400,87,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,BOFU,4,High,P1,698.88
how to remove bad reviews from google my business,"Informational, Commercial",390,23,Suspension / Reinstatement / Delete,/guides/remove-bad-google-reviews/,Troubleshooting Guide,BOFU,5,Low,P1,692.06
add my business to google free,"Informational, Commercial",480,33,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,BOFU,4,Low,P1,678.91
google my business locations,"Informational, Navigational",720,48,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,Medium,P1,667.8
google my business app,Transactional,8100,50,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,Medium,P2,6175.84
google my business login,"Navigational, Transactional",12100,70,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,High,P2,5607.74
is google my business free,Informational,4400,71,Free / Cost / Pricing,/guides/is-google-my-business-free/,Guide,TOFU,3,High,P2,1914
google my business account,"Navigational, Transactional",9900,91,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,High,P2,1480.05
google my business questions and answers,Informational,880,26,Core / Navigational Head Terms,/guides/google-business-profile-questions-and-answers/,Guide,TOFU,3,Low,P2,957
google my business app download,Informational,720,21,API / Analytics / Insights,/guides/google-business-profile-login/,Guide,TOFU,1,Low,P2,662.4
google my business card,Informational,480,29,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,Low,P2,604.8
google my business logo,Informational,590,31,Photos / Logo / Cover / Videos,/guides/google-my-business-logo-size/,Guide,TOFU,3,Low,P2,598.85
google my business postcard,Informational,590,44,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Medium,P2,588.52
google maps my business,Navigational,2900,84,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P2,566.95
google my business ads,Navigational,1000,71,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,525
google my business support phone number 24/7,"Navigational, Transactional",880,65,Categories / Services / Description,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P2,473.62
how to add my business to google,Informational,720,63,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P2,437.76
google my business support,"Navigational, Transactional",1000,72,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P2,433.55
google my business cover photo size,Informational,320,10,Photos / Logo / Cover / Videos,/guides/google-business-profile-photo-size/,Guide,TOFU,3,Low,P2,422.24
google my business download,Commercial,320,21,API / Analytics / Insights,/guides/google-business-profile-login/,Guide,BOFU,1,Low,P2,382.72
delete google my business,Informational,320,34,Suspension / Reinstatement / Delete,/google-business-profile-management-tool/,Product Landing,BOFU,5,Low,P2,375.2
how to delete my business from google,Informational,390,18,Suspension / Reinstatement / Delete,/guides/google-business-profile-faq/,FAQ,TOFU,1,Low,P2,372.25
how to verify my business on google,Informational,320,37,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Medium,P2,358.4
google my business icon,Informational,260,23,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,Low,P2,354.9
how do i put my business on google maps,Informational,390,46,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P2,343.2
claim my business on google,Navigational,390,48,Setup / Add / Create / Register,/guides/google-business-profile-ownership-transfer/,Guide,TOFU,4,Medium,P2,330.72
google my business help center,Navigational,590,69,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,330.4
how to list my business on google,Informational,720,74,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P2,311.04
how to remove google reviews from my business,"Informational, Commercial",260,50,Suspension / Reinstatement / Delete,/guides/remove-bad-google-reviews/,Troubleshooting Guide,BOFU,5,Medium,P2,301.66
google my business expert,Commercial,140,9,Management Service / Agency,/google-my-business-management-service/,Service Landing,BOFU,5,Low,P2,293.02
my google business app,"Informational, Commercial",320,43,Login / Account / App,/guides/google-business-profile-login/,Guide,BOFU,1,Medium,P2,277.47
contact number for google my business,"Navigational, Transactional",480,63,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P2,272.69
how can i list my business on google maps,Informational,210,23,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Low,P2,262.08
create google my business,"Navigational, Transactional",390,70,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P2,251.47
google my business free website,Navigational,590,72,Categories / Services / Description,/guides/edit-google-business-profile/,Guide,TOFU,3,High,P2,248.09
google verify my business,Navigational,320,57,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Medium,P2,246.4
optimise google my business,Informational,320,57,Optimization / SEO / Ranking,/guides/google-business-profile-optimization-checklist/,Pillar Guide,MOFU,5,Medium,P2,246.4
edit my google business,Navigational,390,58,Other / Long-tail,/guides/edit-google-business-profile/,Guide,TOFU,3,Medium,P2,243.16
google my business management service,"Informational, Commercial",140,25,Management Service / Agency,/google-my-business-management-service/,Service Landing,BOFU,5,Low,P2,242.06
google my business verification postcard,Informational,170,20,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Low,P2,240.98
google my business helpline number,Navigational,720,72,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P2,240.12
google my business contact number,Navigational,480,58,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,Medium,P2,237.36
what is google my business,"Informational, Commercial",480,80,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,229.32
verification code google my business,Informational,170,24,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Low,P2,229.08
google my business offers,"Informational, Navigational",210,40,Google Posts / Offers / Updates,/features/google-posts-scheduler/,Feature Landing,BOFU,5,Medium,P2,224.17
google my business customer care number,Navigational,1000,82,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P2,218.5
google my business listing services,Commercial,140,31,Categories / Services / Description,/guides/google-my-business-services/,Guide,BOFU,4,Low,P2,203.84
google my business help,"Navigational, Transactional",480,83,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,196.56
google my business reviews,"Informational, Commercial",320,74,Reviews / Ratings / Reply,/features/google-review-management/,Feature Landing,BOFU,5,High,P2,196.56
google my business seo,Informational,320,66,Optimization / SEO / Ranking,/guides/google-business-profile-optimization-checklist/,Pillar Guide,MOFU,5,High,P2,196
google my business verify postcard,Informational,140,25,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Low,P2,186.2
google my business profile picture size,Informational,140,27,Photos / Logo / Cover / Videos,/google-business-profile-management-tool/,Product Landing,BOFU,5,Low,P2,181.3
google my business rank checker,Commercial,140,46,Optimization / SEO / Ranking,/guides/google-business-profile-optimization-checklist/,Pillar Guide,BOFU,5,Medium,P2,175.18
google my business optimization,Informational,320,70,Optimization / SEO / Ranking,/guides/google-business-profile-optimization-checklist/,Pillar Guide,MOFU,5,High,P2,173.6
google my business workshop,Informational,110,13,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,Low,P2,169.4
google my business updates,Informational,210,57,Google Posts / Offers / Updates,/features/google-posts-scheduler/,Feature Landing,BOFU,5,Medium,P2,161.7
google my business course,"Informational, Transactional",140,51,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,Medium,P2,159.25
google my business page,Navigational,1000,92,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,157.5
google my business agency,Navigational,170,50,Management Service / Agency,/google-my-business-management-service/,Service Landing,BOFU,5,Medium,P2,151.72
bulk verification google my business,Informational,110,24,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Low,P2,148.22
google my business suspended,Informational,140,43,Suspension / Reinstatement / Delete,/guides/google-business-profile-suspended/,Troubleshooting Guide,MOFU,5,Medium,P2,142.1
google my business posts,Navigational,210,68,Google Posts / Offers / Updates,/features/google-posts-scheduler/,Feature Landing,BOFU,5,High,P2,121.27
