Week,Month,Content Type,Priority,Topic / Page,Target URL,Primary Keyword / Intent,Funnel,CTA,Production Notes
1,Month 1,Pillar / Landing,P1,Google Business Profile Management Tool,/google-business-profile-management-tool/,google my business,BOFU,Start free trial + Run free GBP audit,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
1,Month 1,Supporting Guide,P1,Google My Business Verification,/guides/google-business-profile-verification/,google my business verification,MOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
1,Month 1,Industry Page,P2,GBP Management for Doctors & Clinics,/industries/doctors-clinics-google-business-profile/,doctor Google Business Profile management,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
1,Month 1,Product-led SEO Asset,P2,Free GBP Audit Tool Landing Page,/tools/google-business-profile-audit/,google business profile audit tool,BOFU,Free audit signup,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
2,Month 1,Pillar / Landing,P1,Google Business Profile Verification Guide,/guides/google-business-profile-verification/,google my business code,MOFU,Check verification readiness,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
2,Month 1,Supporting Guide,P1,Google My Business Locations,/google-business-profile-management-tool/,google my business locations,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
2,Month 1,Industry Page,P2,GBP Management for Dentists,/industries/dentists-google-business-profile/,dentist Google Business Profile optimization,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
2,Month 1,Product-led SEO Asset,P2,AI Review Reply Generator,/tools/google-review-reply-generator/,google review reply generator,MOFU,Generate review reply,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
3,Month 1,Pillar / Landing,P1,Google Business Profile Optimization Checklist,/guides/google-business-profile-optimization-checklist/,google my business optimization,MOFU / BOFU,Run free GBP audit,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
3,Month 1,Supporting Guide,P1,Google My Business Sticker,/google-business-profile-management-tool/,google my business sticker,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
3,Month 1,Industry Page,P2,GBP Management for Dermatology Clinics,/industries/dermatology-clinics-google-business-profile/,dermatology clinic Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
3,Month 1,Product-led SEO Asset,P2,GBP Description Generator,/tools/google-business-profile-description-generator/,google business profile description generator,MOFU,Generate description,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
4,Month 1,Pillar / Landing,P1,Google Posts Scheduler for Business Profiles,/features/google-posts-scheduler/,google my business offers,BOFU,Schedule first Google Post,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
4,Month 1,Supporting Guide,P2,Google My Business Card,/google-business-profile-management-tool/,google my business card,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
4,Month 1,Industry Page,P2,GBP Management for IVF/Fertility Clinics,/industries/fertility-clinics-google-business-profile/,fertility clinic local SEO,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
4,Month 1,Product-led SEO Asset,P2,GBP Category Finder,/tools/google-business-profile-category-finder/,google business profile category finder,MOFU,Find category,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
5,Month 2,Pillar / Landing,P1,How to Remove Bad Google Reviews,/guides/remove-bad-google-reviews/,how to remove bad reviews from google my business,MOFU / BOFU,Analyze review risk / Get reply suggestion,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
5,Month 2,Supporting Guide,P2,Delete Google My Business,/google-business-profile-management-tool/,delete google my business,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
5,Month 2,Industry Page,P2,GBP Management for Jewellery Stores,/industries/jewellery-stores-google-business-profile/,jewellery store Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
5,Month 2,Product-led SEO Asset,P2,Google Posts Idea Generator,/tools/google-business-profile-post-ideas/,google business profile post ideas,MOFU,Generate post ideas,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
6,Month 2,Pillar / Landing,P1,Google Review Management Software,/features/google-review-management/,google my business reviews,BOFU,Connect GBP / Try AI review replies,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
6,Month 2,Supporting Guide,P2,Google My Business Icon,/google-business-profile-management-tool/,google my business icon,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
6,Month 2,Industry Page,P2,GBP Management for Restaurants,/industries/restaurants-google-business-profile/,restaurant Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
6,Month 2,Product-led SEO Asset,P2,GBP ROI Calculator,/tools/google-business-profile-roi-calculator/,google business profile ROI calculator,BOFU,Calculate ROI,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
7,Month 2,Pillar / Landing,P1,Google My Business Management Service,/google-my-business-management-service/,google my business agency,BOFU,Book consultation / WhatsApp Pinzo team,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
7,Month 2,Supporting Guide,P2,Google My Business Offers,/features/google-posts-scheduler/,google my business offers,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
