Phase,URL,Page Title,Page Type,Primary Keyword,Top Keyword Variants,Mapped KW Count,Mapped Volume,Avg KD,Business Fit,Search Intent,Main CTA,Content Modules,Internal Links,Schema,Moat / Differentiator
P1 / Month 1,/google-business-profile-management-tool/,Google Business Profile Management Tool,Product Landing,google my business,"google my business, my google business profile, google my business profile, google my business listing, google my business ads",2155,285540,65.1,5,BOFU,Start free trial + Run free GBP audit,Problem; dashboard screenshots; multi-location workflows; AI review replies; posts; rank tracker; profile audit; reporting; pricing; FAQs.,"Review Management, Posts Scheduler, GBP Audit, Rank Tracker, Agencies, Doctors & Clinics","SoftwareApplication, FAQPage, BreadcrumbList",Interactive audit preview + screenshots + use-case videos.
P1 / Month 1,/guides/google-business-profile-verification/,Google Business Profile Verification Guide,Guide,google my business code,"google my business code, google my business verification, google my business letter, google my business postcard, google verify my business",256,7470,37,5,MOFU,Check verification readiness,Verification methods; postcard/phone/email/video; common delays; code problems; bulk verification; checklist; FAQs.,"Add Business, Ownership Transfer, Support Guide, Managed Service","HowTo, FAQPage",Verification readiness checklist.
P1 / Month 1,/guides/google-business-profile-optimization-checklist/,Google Business Profile Optimization Checklist,Pillar Guide,google my business optimization,"google my business optimization, google my business seo, optimise google my business, google my business rank checker, how to do seo for google my business",173,2080,59.8,5,MOFU / BOFU,Run free GBP audit,NAP; primary category; services; description; photos; reviews; posts; Q&A; products; rank tracking; performance metrics.,"Category Guide, Services, Review Management, Posts Scheduler, Rank Tracker","Article, FAQPage",100-point GBP score framework.
P1 / Month 1,/features/google-posts-scheduler/,Google Posts Scheduler for Business Profiles,Feature Landing,google my business offers,"google my business offers, google my business posts, google my business updates, google posts my business, google my business new updates",213,1530,55,5,BOFU,Schedule first Google Post,Schedule posts; bulk posts; offers/events/products; approval workflow; examples by industry; analytics.,"Posts Examples, Photo Size, Industry Post Ideas","SoftwareApplication, FAQPage",Free post calendar by business category.
P1 / Month 1,/guides/remove-bad-google-reviews/,How to Remove Bad Google Reviews,Troubleshooting Guide,how to remove bad reviews from google my business,"how to remove bad reviews from google my business, how to remove google reviews from my business, how to delete google my business reviews, can you remove reviews from google my business, delete google my business reviews",29,990,36.5,5,MOFU / BOFU,Analyze review risk / Get reply suggestion,What can/can't be removed; policy violations; flagging; response templates; escalation; prevention.,"Review Management, Review Link Guide, Managed Service","Article, FAQPage",Policy-safe review response templates.
P1 / Month 1,/features/google-review-management/,Google Review Management Software,Feature Landing,google my business reviews,"google my business reviews, fake reviews on google my business, google my business review guidelines, google my business reviews widget, how to write a review on google my business",171,990,74,5,BOFU,Connect GBP / Try AI review replies,Unified inbox; AI replies; sentiment tags; SLA; multi-location review analytics; templates; compliance; examples.,"Review Link Guide, Remove Bad Reviews, AI Review Replies, Industries","SoftwareApplication, FAQPage",Free Google review reply generator and reply examples library.
P1 / Month 1,/google-my-business-management-service/,Google My Business Management Service,Service Landing,google my business agency,"google my business agency, google my business expert, google my business management service, google my business company, google my business agency dashboard",34,550,28,5,BOFU,Book consultation / WhatsApp Pinzo team,"Pain points; what is managed; weekly/monthly deliverables; before-after examples; pricing ₹9,999 managed service; proof; FAQs.","Optimization Service, Doctors Clinics, Reviews, Posts, Reporting","Service, FAQPage, BreadcrumbList",Managed-service checklist + sample monthly report.
P2 / Month 2,/guides/google-business-profile-suspended/,Google Business Profile Suspended: Fix Guide,Troubleshooting Guide,google my business suspended,"google my business suspended, google my business suspended due to quality issues, how to fix suspended google my business, google has suspended my business page, google my business appeal",41,440,43,5,MOFU,Suspension checklist / Consultation,Common causes; soft vs hard suspension; document checklist; appeal steps; mistakes; FAQs.,"Verification, Support, Ownership, Managed Service","Article, FAQPage",Suspension readiness checklist.
P2 / Month 2,/guides/google-my-business-review-link/,Google My Business Review Link Guide,Guide,google my business review link,"google my business review link, how do i share my google business review link, how to get google my business review link, how to get google review link for my business, generate google my business review link",25,400,56,5,MOFU / BOFU,Generate review request workflow,How to find link; share link; QR; WhatsApp templates; policy-safe review requests; tracking.,"Review Management, Remove Bad Reviews, Industry Pages","HowTo, FAQPage",WhatsApp review request templates.
P1 / Month 1,/google-my-business-optimization-service/,Google My Business Optimization Service,Service Landing,google my business optimization service,"google my business optimization service, google my business optimisation service, google my business optimization service india, google my business ranking services, google my business seo services",9,170,,5,BOFU,Get profile optimization audit,Optimization checklist; category/services; description; photos; reviews; posts; local rank tracking; monthly plan; case study.,"Optimization Checklist, Rank Tracker, Services Guide, Description Examples","Service, FAQPage",Free listing score / profile health score.
